source_cleaned,MTPE
Interdisciplinarity: Is there room for It in undergraduate engineering education's futures?,학제간 연구: 학부 공학 교육의 미래에 학제간 연구의 여지가 존재하는가.
"Today, let's observe the short agenda as shown on this slide.",오늘은 이 슬라이드에 표시된 짧은 안건을 살펴보겠습니다.
"First, let's speak about our possible futures and how those are shaped by many agents of change.","먼저, 가능성이 있는 미래와 그 미래가 다양한 변화의 주체에 의해 어떻게 형성되는지에 대해 이야기해 봅시다."
"There are pulls of the future caused by agents of change, such as social, technological, environmental, economic, and political.","사회, 기술, 환경, 경제, 정치 등 변화의 주체로 인해 발생하는 미래의 견인력이 있습니다."
There are pushes of the present like the momentum to go interdisciplinary in addressing complex problems of the world.,세계의 복잡한 문제를 해결하기 위해 학제간 연구를 추진하는 추진력과 같은 현재의 추진이 있습니다.
And there are weights of the past like the tendency to go deeper and deeper into specializations in what looked like academic silos.,그리고 학문적 사일로처럼 보였던 전문 분야에 점점 더 깊이 들어가려는 경향과 같은 과거의 무게가 있습니다.
"Second, what is interdisciplinary?","둘째, 학제간이란 무엇입니까?"
A quick search by google would get as many as 410 million results.,Google로 빠르게 검색하면 최대 4억 1천만 개의 결과를 얻을 수 있습니다.
Top most would be an over simplified definition.,상위 결과는 지나치게 단순화된 정의입니다.
Such as interdisciplinary involves the combination of multiple academic disciplines into one activity.,학제간 연구와 같이 여러 학문 분야를 하나의 활동으로 결합하는 것이 포함됩니다.
Followed by many examples of interdisciplinary journals and academic departments in universities.,이어서 대학에서는 학제간 논문집과 학과 설립 등 많은 사례가 있었습니다.
And master's degree programs and research projects and more of those up to hundreds of millions of examples.,그리고 석사 학위 프로그램과 연구 프로젝트 등 최대 수억 개의 사례가 있습니다.
"Meanwhile, if we did a search of journal articles, say until year 2022, we could find nearly 100 000 act as interdisciplinary in the title abstract or key words.","한편, 2022년까지 저널 기사를 검색하면 제목 초록이나 키워드에서 학제 간 활동을 거의 100,000개 찾을 수 있습니다."
There has been an accelerated increase in the accumulative total number of articles over the past 100 years.,지난 100년 동안 누적 논문 수의 증가가 가속화되었습니다.
"Looking at 5 journals with the top numbers of accumulated articles, there have been overall increases over the past 50 years.",누적 논문 수가 가장 많은 5개 저널을 살펴보면 지난 50년간 전체적으로 증가세가 나타났습니다.
"And we might ask, under what subject areas.",그리고 어떤 영역이 주제가 될지 질문할 수도 있습니다.
These are all the subject areas in such databases.,이는 해당 데이터베이스의 모든 주제 영역입니다.
"Admittedly, these subject areas are not fully exclusive of each other.",물론 이러한 주제 영역이 서로 완전히 배타적인 것은 아닙니다.
But authors would consent to associate their articles with any of these subjects.,그러나 저자진은 이러한 주제와 관련된 논문을 집필하고자 할 것입니다.
"So let's observe in the four subject areas of arts and humanities, engineering, medicine, and social sciences.","그럼 예술과 인문학, 공학, 의학, 사회과학의 네 가지 주제 영역을 살펴보겠습니다."
Here are the subject areas where interdisciplinary has been highlighted by many journal articles.,다음은 많은 저널 기사에서 학제간 연구가 강조된 주제 영역입니다.
"While 26% were under medicine, only 4.3% were in engineering.","26%가 의학 분야에 종사하고 있는 반면, 공학 분야에 종사하는 경우는 4.3%에 불과했습니다."
"By the way, there have been indications that multidisciplinary is treated different from interdisciplinary.","그런데, 다학제는 학제간과는 다르게 취급된다는 징후가 있었습니다."
Indeed interdisciplinary is treated different from trans disciplinary.,실제로 학제간 연구는 학제간과 다르게 취급됩니다.
"Multidisciplinary, interdisciplinary and transdisciplinary are not one and the same.","다학제, 학제간 및 초학문적 접근은 하나가 아니며 동일하지 않습니다."
"We could go by definitions descriptions or typologies from this handbook of year 2017, for example.","예를 들어, 2017년 발간된 이 핸드북의 정의 또는 유형 분류에 관한 설명을 따를 수 있습니다."
In the middle of today's agenda is interdisciplinary or interdisciplinarity.,오늘의 의제의 중심에는 학제 간 또는 학제 간이 있습니다.
"It is described to involve interacting, integrating, focusing, blending, and linking the intra-academic integration of different types of disciplinary knowledge.","이는 다양한 유형의 학문적 지식의 학문 내 통합을 상호 작용하고, 통합하고, 집중하고, 혼합하고 연결하는 것을 포함하는 것이라 설명할 수 있습니다."
"In contrast, multi disciplinary on the left is much less than that.",이에 비해 왼편에 있는 다학문은 그보다 훨씬 적습니다.
It is merely coordinating among disciplines.,단지 학문 분야 간의 공동 작업일 뿐입니다.
In contrast also transdisciplinary on the right is much more than that.,대조적으로 오른쪽의 초학제는 그보다 많습니다.
It is fully synthesizing all knowledge that is co produced among academic and non-academic actors.,학문적 행위자와 비학술적 행위자 사이에서 공동으로 생산되는 모든 지식을 완벽하게 종합하는 것입니다.
In today's agenda we presume that interdisciplinarity is what we need with undergraduate engineering education.,오늘의 의제에서는 학제간이 학부 공학 교육의 필수 요소라고 가정합니다.
"Third, let us give the examples of eleven engineering professions in the Philippines.","셋째, 필리핀의 11개 엔지니어링 직업의 예를 들어보겠습니다."
As they are regulated both at the level of higher education and upon entry into professional practice.,고등 교육 수준과 전문 실무에 들어갈 때 규제됩니다.
Basic education in the Philippines has been recently reformed prompting revisions of higher education by year 2018.,필리핀의 기본 교육은 최근 2018년에 고등 교육이 개정되었습니다.
"The commission on higher education or CHED regulates the Bachelor of Science programs in engineering, as well as in other higher education.",고등교육 위원회(CHED)는 공학 및 기타 고등교육 분야의 이학사 프로그램을 규제합니다.
"The professional regulation commission , PRC regulates the practice of 45 professions.",전문 규제 위원회(PRC)는 45개 직업의 관행을 규제합니다.
Including 11 in engineering.,공학 분야에는 11개가 포함됩니다.
To our knowledge these 11 engineering professions started to be regulated by government at different times from more than 100 years ago.,우리가 아는 바에 따르면 이 11개의 공학 직업은 100여년 전부터 서로 다른 시기에 정부의 규제를 받기 시작했습니다.
"From more than 100 years ago, if we arrange the lab and chronologically we note that civil engineering was among the firsts.",100여년 전부터 연구실을 정리하고 연대순으로 보면 토목공학이 최초였다는 것을 알 수 있습니다.
And their revisions in professional regulation have been coming at different years to civil engineering.,그리고 토목 공학에 대한 전문 규정의 개정은 서로 다른 해에 이루어졌습니다.
Notably has not been revised since 1956 or 1950.,특히 1956년이나 1950년 이후 개정되지 않았습니다.
"Meanwhile, as shown in blue on this slide, distinction has been legally formalized for registered electrical engineer and professional electrical engineer.","한편, 이 슬라이드의 파란색 부분과 같이 전기기사 등록자와 전문전기기사에 대한 구분이 법적으로 공식화되어 있습니다."
"Similarly, for professional mechanical engineer and for professional electronics engineer.",전문 기계공학자와 전문 전자공학자도 마찬가지입니다.
"As for higher education, as one of the requirements for entry into the practice of profession all Bachelor of Science and engineering programs were prompted for revision in 2017.","고등교육의 경우, 실무진입을 위한 요구사항 중 하나로 모든 과학 및 공학 학사 프로그램이 2017년에 개정되었습니다."
And new implementation is starting in 2018.,그리고 2018년부터 새로운 구현이 시작됩니다.
After the nationwide reform in the K-12 basic education.,K-12 기초 교육의 전국적인 개혁 이후입니다.
"Note that the 11 engineering programs had mostly independent policies standards and guidelines as contained in separate CHED memorandum orders with different numbers, as shown on this slide.",이 슬라이드에 나타난 것처럼 11개 공학 프로그램에는 서로 다른 번호의 별도 CHED 각서 명령에 포함된 것처럼 대부분 독립적인 정책 표준과 지침이 있었습니다.
So let's examine the program structures.,그럼 프로그램 구조를 살펴보겠습니다.
Where they are similar and where they are different.,유사한 부분과 차이가 있는 부분을 확인해 보겠습니다.
All bachelor science and engineering programs are nominally 4 year programs.,모든 학사 과학 및 공학 프로그램은 명목상 4년 프로그램입니다.
They vary in terms of number of units over the 4 years from 113 units in mining engineering.,광산 공학 113개 단위에서는 4년 동안 기간이 다양하게 나타납니다.
To 129 units in sanitary engineering or by about 14 % difference.,위생공학에서는 129개 단위로 약 14% 차이가 납니다.
"In the non technical they have common courses among engineering students and indeed among non engineering students, as well.",비기술 과목에는 공과대학 학생과 비공과대학 학생 사이에도 공통 강좌가 있습니다.
Such as physical education and national service training program.,"체육교육, 국가봉사훈련 프로그램 등이 그것입니다."
"In the non-technical as well the general education courses in the core or required curriculum have been updated, too.",비기술 교육 과정과 핵심 또는 필수 교육 과정의 일반 교육 과정도 개정되었습니다.
General education courses or basic sciences or basic courses have been updated to include technopreneurship.,일반 교육 과정이나 기초 과학 또는 기초 과정에 기술 기업가 정신을 포함하도록 개정되었습니다.
"Up to here, the none technical courses constitute about 30% or almost 1/3 of the 4 year curriculum.","지금까지 기술과목이 없는 과목은 4년 커리큘럼의 약 30%, 즉 거의 1/3을 차지합니다."
About 70% or more than 2/3 of the 4 year curriculum are technical courses.,4년제 교육과정 중 약 70% 이상이 기술 과목입니다.
"Including math, physics, chemistry, and biology, and most of the basic sciences are basic courses.","수학, 물리학, 화학, 생물학 등을 포함한 대부분의 기초 과학은 기초 과목입니다."
"And at the bottom of this list big chunks of so called common or core professional courses for each major, such as civil, mechanical etc.","그리고 이 목록의 맨 아래에는 토목, 기계 등과 같은 각 전공에 대한 소위 공통 또는 핵심 전문 과정이 많이 있습니다."
There have been trends of separating the CE professional courses from the professional courses of other majors.,CE 전문 과정을 다른 전공의 전문 과정과 분리하는 경향이 있습니다.
"The earlier in the curriculum, the better supposedly for meeting the expectations of the professional practice.",커리큘럼이 일찍 시작될수록 전문적인 실무에 대한 기대를 충족시키는 데 더 좋습니다.
"In large colleges and departments, for example, there are separate subjects or separate classes of numerical solutions to engineering problems.","예를 들어, 대규모 대학과 학과에는 공학 문제에 대한 별도의 주제 또는 별도의 수치 솔루션 클래스가 있습니다."
And numerical solutions to civil engineering problems.,그리고 토목 공학 문제에 대한 수치적 솔루션이 있습니다.
More differences in direction are observed in the so called specialized or track type of professional courses.,소위 전문과정이나 트랙형 전문과정에서 방향의 차이가 더 많이 관찰됩니다.
2 of the 11 BS engineering programs do not require such.,11개 학사 공학 프로그램 중 2개는 이를 요구하지 않습니다.
5 other BS programs require 1 or 2 semesters to include 1 to 3 such specialized courses with a total of 3 to 6units.,5개의 다른 학사 프로그램은 1~2학기에 총 3~6학점의 전문 과정 1~3개를 포함해야 합니다.
"At most, representing about 5% of the curriculum.",커리큘럼에서 최대 약 5%를 차지합니다.
Among the remaining four BSCE requires the most specialized courses in a particular track.,나머지 4개의 BSCE 중 특정 트랙에서는 가장 전문화된 과정이 필요합니다.
Namely 15 units are about 12% of the curriculum.,"즉, 15개 단위가 커리큘럼의 약 12%를 차지합니다."
And uniquely the BSE program policy also mandates that the track of specialization is to be written in the diploma.,그리고 특이하게도 BSE 프로그램 정책은 전문화 과정을 졸업장에 기재하도록 규정하고 있습니다.
"As for example, BS civil engineering with specialization in structural engineering.",예를 들어 구조공학을 전문으로 하는 토목공학 학사 학위가 있습니다.
These are examples of specialized fields as generally acknowledged by the CHED and or the PICE.,이 전공들은 CHED 및/또는 PICE가 일반적으로 인정하는 전문 분야의 예입니다.
"Meanwhile, concerns have been raised by some members of the PRC as to whether or not good to brand the bachelor's diploma not only as civil engineering but also with any of these specializations.",한편 중국의 일부 회원들은 학사 학위를 토목 공학뿐만 아니라 이러한 전문 분야로 브랜드화하는 것이 좋은지 여부에 대한 우려를 제기했습니다.
"A nagging question for example is structural engineering, a separate profession now from civil engineering.",예를 들어 이제는 토목공학과는 별개의 직업이 된 구조공학이라는 까다로운 전공이 있습니다.
"Fourth, we arrive now at some examples some illustrations of debate in the academia industry, as shown here.","넷째, 여기에 표시된 것처럼 학계 업계의 논쟁에 대한 몇 가지 예시가 있습니다."
BSCE education should conclude with specialization in one track.,BSCE 교육은 단일 트랙의 전문화로 마무리되어야 한다는 입장이 있습니다.
Versus BSCE education should equally cover all 5 or 6 specialized fields within in an integrated manner.,한편 BSCE 교육은 5~6개 전문 분야를 모두 통합 방식으로 균등하게 다루어야 한다는 입장도 있습니다.
"Or here, BSCE should be the degree requirements among other requirements for professional civil engineer.",또는 이 슬라이드와 같이 BSCE는 전문 토목 기술자에 대한 다른 요구 사항 중 학위 요구 사항이어야 한다는 입장이 있습니다.
"Versus master of engineering, civil engineering should be the degree requirement among other requirements for a professional civil engineer.",그리고 이와 반대로 공학 석사와 비교하여 토목 공학은 전문 토목 기술자의 다른 요구 사항 중에서 학위 요구 사항이어야 한다는 입장도 있습니다.
"And as of now, we and PICE are in the midst of recommendations such as shown here.",그리고 현재 저희와 PICE는 여기에 표시된 것과 같은 권장사항을 진행 중입니다.
"Multisectoral, interdisciplinary setting of quantifications for professional engineering and the corresponding Bachelor-level preparation.","전문 엔지니어링 및 해당 학사 수준 준비를 위한 다학제, 학제간 정량화 환경입니다."
Review of relevance of professional master or master of engineering degrees in the practice of engineering professions.,공학 전문직 실무에서 전문 석사 또는 공학 석사 학위의 관련성을 검토합니다.
"And review of relevance of bachelor of science, masters and doctor degrees in industry, as well as in academia.","그리고 학계는 물론 산업 분야의 과학 학사, 석사, 박사 학위의 관련성을 검토합니다."
"Fifth and finally, we get to inquire.",마지막 다섯째로는 의문점을 말씀드리겠습니다.
How about civil engineering education in other parts of the Asia pacific?,아시아 태평양 다른 지역의 토목공학 교육은 어떻습니까?
How are the prospects of interdisciplinarity in the BSCE education?,BSCE 교육의 학제간 전망은 어떻습니까?
So we look forward to exchanges of ideas and approaches in a sec.,이러한 사항을 ASEC에서 아이디어와 접근 방식을 나누기를 기대합니다.
ACECC as well.,ACECC에서도 그러기를 바랍니다.
Thank you for your attention.,경청해 주셔서 감사합니다.
